"1","SCRUM","2016-05-25","2017-03-10","","8, 144","genilson.martins, andre.muniz","IoT, iOS"
"3","SCRUM","2016-06-10","2018-08-31","","25, 211","ext-cael.gomes, artur.farias",""
"13","SCRUM","2016-04-01","2017-04-10","","77, 78, 81, 79, 83, 80, 82","mateus, rogerio.nobrega, adelito.farias, claudio.cardoso, diego.santos, jonhnanthan.oliveira, nattan.lucena","iOS, CSS, HTML, JavaScript, IOT"
"14","SCRUM","2016-04-01","2017-02-24","","85, 89, 198, 223, 397","wesley.herculano, bruno.brandao, samir.feitosa, andre.gois, romildo.freitas","Android, Java, Node.js, Mobile, Web"
"15","SCRUM","2016-04-01","2017-02-28","","93, 105, 107","diego.azevedo, bruno.nascimento, jefferson.araujo","Web, iOS"
"17","SCRUM","2016-05-30","2016-12-22","","92, 102, 101, 98","raissa.silva, lorena.maia, matheus.campos, arthur.freire","Linux, HTML, Desktop, Lua"
"18","SCRUM","2016-09-15","2017-03-01","","91, 99, 94, 96, 59","fred, wagner.leal, diego.bezerra, tales.gurjao, yuri.gomes",""
"19","SCRUM","2016-04-01","2017-03-24","","113, 114","ycaro.ratis, tales.satiro",""
"22","SCRUM","2016-11-01","2017-07-31","","130, 77, 81, 143, 145, 146, 214","mateus, diego.santos, bruno.figueiredo, gutemberg, jose.caitano, franklin.bastos, fabricio.melo","JavaScript, IOT, Web, iOS, RESTful APIs, JSON"
"23","SCRUM","2016-10-31","2017-05-31","","77, 134, 135","mateus, julio.silva, igor.morais","Mobile, RFID, IOT, Desktop, iOS, RESTful APIs, Linux, Spring Java"
"25","SCRUM","2016-09-01","2018-04-13","","132, 138, 140, 141, 142, 178, 216, 190, 292, 18","joao.vitorino, joao.albuquerque, diego.alan, tiago.nobrega, vinicius.macedo, rafael.araujo, arthur.navarro, vandhuy.martins, ext-bruno.souza, ext-rafael.araujo",""
"26","SCRUM","2016-06-01","2017-03-31","","132, 148, 149, 150, 151, 152, 153, 154, 155","abraao.santos, luiz.correa, ulysses.gomes, joao.vitorino, erick.costa, gabriella.alves, jorge.feitosa, francisco.medeiros, carlos.vieira",""
"29","SCRUM","2017-01-23","2018-01-31","","175, 177, 34","augusto.macedo, paul.monthaler, giovani.barbosa","RESTful APIs, Angular 2, JavaScript"
"30","SCRUM","2017-01-23","2018-01-31","","175, 177, 168","henrique.florencio, augusto.macedo, paul.monthaler",""
"32","SCRUM","2017-01-02","2017-10-31","","173, 90","francisco.barros, danilo.santos",""
"35","SCRUM","2017-02-15","2019-06-30","Linux Ubuntu, Chrome, Unit01","180, 391, 103, 130, 136","fabricio.epaminondas, walter.guerra, epx, gutemberg, leandro.silva",""
