Nomes,Hardskills,P_collab,F_base
"['edney.oliveira', 'emilayne.corlett', 'catharine.bezerra', 'antonio.dantas']","['iOS', 'MongoDB', 'MongoDB', 'MongoDB', 'MongoDB']",0.12,0.16666666666666666
"['emerson.santos', 'gilmar.batista', 'mendelssohn.sa', 'antonio.dantas']",[],0.07166666666666667,0.0
"['edney.oliveira', 'gilmar.batista', 'catharine.bezerra', 'mendelssohn.sa']","['iOS', 'MongoDB', 'MongoDB', 'MongoDB', 'MongoDB']",0.11,0.16666666666666666
"['pedro.medeiros', 'marcos.leite', 'anderson.lima', 'fagner.martins']","['MongoDB', 'MongoDB', 'iOS', 'MongoDB', 'iOS', 'iOS', 'iOS', 'iOS', 'iOS', 'iOS', 'RESTful APIs', 'iOS', 'iOS']",0.02666666666666667,0.16666666666666666
"['matheus.barbosa', 'gessica.silva', 'emilayne.corlett', 'catharine.bezerra']",[],0.09999999999999999,0.0
"['catharine.bezerra', 'tales.satiro', 'victor.batista', 'wendley.franca']",[],0.07250000000000001,0.0
"['sergio.pinto', 'filipe.ramos', 'jeremias.araujo', 'paulo.souto']","['Web', 'JavaScript']",0.17200000000000001,0.3333333333333333
"['igor.silva', 'william.barbosa', 'Newton.fonseca', 'sydeney.araujo']",[],0.09000000000000001,0.0
"['sydeney.araujo', 'luan.balbino', 'Newton.fonseca', 'yago.silva']",[],0.08333333333333333,0.0
"['paulo.souto', 'arthur.araujo', 'pablo.santos', 'francisco.favaro']",[],0.27499999999999997,0.0
