source,source_user_id,target,target_user_id,weight
catharine.bezerra,351,diego.azevedo,105,7.2
catharine.bezerra,351,singrid.palmeira,311,4.8
catharine.bezerra,351,gilmar.freitas,453,3.6
catharine.bezerra,351,felipe.silva,205,3.6
catharine.bezerra,351,carlos.vieira,154,2.4
catharine.bezerra,351,wendley.franca,250,3.6
catharine.bezerra,351,tales.satiro,114,3.6
diego.azevedo,105,singrid.palmeira,311,4.8
diego.azevedo,105,gilmar.freitas,453,4.8
diego.azevedo,105,felipe.silva,205,3.6
diego.azevedo,105,carlos.vieira,154,3.6
diego.azevedo,105,wendley.franca,250,3.6
diego.azevedo,105,tales.satiro,114,2.4
singrid.palmeira,311,gilmar.freitas,453,3.6
singrid.palmeira,311,felipe.silva,205,3.6
singrid.palmeira,311,carlos.vieira,154,2.4
singrid.palmeira,311,wendley.franca,250,3.6
singrid.palmeira,311,tales.satiro,114,2.4
gilmar.freitas,453,felipe.silva,205,2.4
gilmar.freitas,453,carlos.vieira,154,2.4
gilmar.freitas,453,wendley.franca,250,2.4
gilmar.freitas,453,tales.satiro,114,1.2
felipe.silva,205,wendley.franca,250,4.8
felipe.silva,205,tales.satiro,114,2.4
felipe.silva,205,carlos.vieira,154,4.8
carlos.vieira,154,wendley.franca,250,4.8
carlos.vieira,154,tales.satiro,114,1.2
wendley.franca,250,tales.satiro,114,2.4
vinicius.silva,308,filipe.ramos,27,12.5
vinicius.silva,308,ermeson.nobrega,363,37.6
vinicius.silva,308,francisco.favaro,411,37.6
vinicius.silva,308,UELIO.camara,425,28.2
vinicius.silva,308,daniel.abella,5,95.4
vinicius.silva,308,paulo.souto,447,28.2
vinicius.silva,308,magno.dantas,359,91.2
vinicius.silva,308,pablo.santos,326,18.8
vinicius.silva,308,jose.antonio,372,9.4
vinicius.silva,308,gustavo.pires,324,18.8
vinicius.silva,308,marcio.pereira,220,18.8
vinicius.silva,308,bruno.dutra,446,31.8
vinicius.silva,308,arthur.araujo,305,47.7
vinicius.silva,308,marcos.costa,448,9.4
vinicius.silva,308,jeremias.araujo,170,31.8
vinicius.silva,308,diogo.miranda,281,2.5
vinicius.silva,308,danilo.coutinho,242,47.7
vinicius.silva,308,felipe.belo,48,2.5
vinicius.silva,308,talles.gomes,261,15.9
vinicius.silva,308,vitruvio.alencar,327,22.8
vinicius.silva,308,bruno.brandao,85,22.8
vinicius.silva,308,samir.feitosa,89,22.8
vinicius.silva,308,andre.gois,223,22.8
vinicius.silva,308,jackson.lino,269,22.8
vinicius.silva,308,wesley.herculano,198,22.8
vinicius.silva,308,arkjoaquitonyo,367,22.8
vinicius.silva,308,catarina.silva,356,22.8
vinicius.silva,308,ext-raul.simoes,331,22.8
vinicius.silva,308,romildo.freitas,397,22.8
filipe.ramos,27,ermeson.nobrega,363,169.2
filipe.ramos,27,francisco.favaro,411,159.8
filipe.ramos,27,UELIO.camara,425,131.6
filipe.ramos,27,daniel.abella,5,40.0
filipe.ramos,27,paulo.souto,447,131.6
filipe.ramos,27,magno.dantas,359,65.8
filipe.ramos,27,paulo.menezes,46,5.7
filipe.ramos,27,marcos.costa,448,47.0
filipe.ramos,27,gustavo.pires,324,65.8
filipe.ramos,27,arthur.araujo,305,22.5
filipe.ramos,27,bruno.dutra,446,84.6
filipe.ramos,27,pablo.santos,326,37.6
filipe.ramos,27,jose.antonio,372,18.8
filipe.ramos,27,marcio.pereira,220,47.0
