source,source_user_id,target,target_user_id,OSF bruto,OSF (NPS),SLF bruto,SLF,success_factor,ProjectCount bruto,ProjectCount,weight,Common_project_IDs
Dev241,241,Dev62,62,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 244, 85]"
Dev241,241,Dev82,82,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 246]"
Dev241,241,Dev401,401,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 244]"
Dev241,241,Dev402,402,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 85, 246]"
Dev241,241,Dev200,200,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[248, 106]"
Dev241,241,Dev56,56,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[248, 106]"
Dev241,241,Dev445,445,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 85, 247]"
Dev241,241,Dev283,283,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 244]"
Dev241,241,Dev7,7,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[248, 106, 85]"
Dev241,241,Dev270,270,9.33,0.93,8.33,0.8,0.82,4,0.18,0.14,"[185, 106, 116, 102]"
Dev241,241,Dev351,351,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 85]"
Dev241,241,Dev29,29,9.33,0.93,8.33,0.8,0.82,4,0.18,0.14,"[185, 106, 116, 85]"
Dev62,62,Dev82,82,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev62,62,Dev401,401,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 244, 262]"
Dev62,62,Dev402,402,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 85, 262]"
Dev62,62,Dev200,200,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 166, 262]"
Dev62,62,Dev56,56,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev62,62,Dev445,445,10.0,1.0,10.0,1.0,1.0,4,0.18,0.18,"[106, 166, 85, 262]"
Dev62,62,Dev283,283,10.0,1.0,10.0,1.0,1.0,4,0.18,0.18,"[106, 244, 166, 262]"
Dev62,62,Dev7,7,10.0,1.0,10.0,1.0,1.0,4,0.18,0.18,"[106, 85, 166, 262]"
Dev62,62,Dev270,270,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 166, 262]"
Dev62,62,Dev351,351,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 85, 262]"
Dev62,62,Dev29,29,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 85, 262]"
Dev82,82,Dev401,401,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev82,82,Dev402,402,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 246, 262]"
Dev82,82,Dev200,200,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev82,82,Dev56,56,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev82,82,Dev445,445,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev82,82,Dev283,283,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev82,82,Dev7,7,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev82,82,Dev270,270,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev82,82,Dev351,351,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev82,82,Dev29,29,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev401,401,Dev402,402,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev401,401,Dev200,200,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev401,401,Dev56,56,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev401,401,Dev445,445,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev401,401,Dev283,283,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 244, 262]"
Dev401,401,Dev7,7,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev401,401,Dev270,270,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev401,401,Dev351,351,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev401,401,Dev29,29,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev402,402,Dev200,200,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev402,402,Dev56,56,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev402,402,Dev445,445,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 85, 262]"
Dev402,402,Dev283,283,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev402,402,Dev7,7,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 85, 262]"
Dev402,402,Dev270,270,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev402,402,Dev351,351,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 85, 262]"
Dev402,402,Dev29,29,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 85, 262]"
Dev200,200,Dev56,56,10.0,1.0,10.0,1.0,1.0,4,0.18,0.18,"[248, 106, 83, 262]"
Dev200,200,Dev445,445,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 166, 262]"
Dev200,200,Dev283,283,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 166, 262]"
Dev200,200,Dev7,7,10.0,1.0,10.0,1.0,1.0,4,0.18,0.18,"[248, 106, 166, 262]"
Dev200,200,Dev270,270,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 166, 262]"
Dev200,200,Dev351,351,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 83, 262]"
Dev200,200,Dev29,29,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev56,56,Dev445,445,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev56,56,Dev283,283,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev56,56,Dev7,7,10.0,1.0,10.0,1.0,1.0,4,0.18,0.18,"[40, 248, 106, 262]"
Dev56,56,Dev270,270,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev56,56,Dev351,351,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 83, 262]"
Dev56,56,Dev29,29,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev445,445,Dev283,283,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 166, 262]"
Dev445,445,Dev7,7,10.0,1.0,10.0,1.0,1.0,4,0.18,0.18,"[106, 166, 85, 262]"
Dev445,445,Dev270,270,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 166, 262]"
Dev445,445,Dev351,351,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 85, 262]"
Dev445,445,Dev29,29,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 85, 262]"
Dev283,283,Dev7,7,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 166, 262]"
Dev283,283,Dev270,270,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 166, 262]"
Dev283,283,Dev351,351,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev283,283,Dev29,29,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev7,7,Dev270,270,10.0,1.0,10.0,1.0,1.0,4,0.18,0.18,"[106, 82, 166, 262]"
Dev7,7,Dev351,351,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 85, 262]"
Dev7,7,Dev29,29,10.0,1.0,10.0,1.0,1.0,4,0.18,0.18,"[106, 85, 82, 262]"
Dev270,270,Dev351,351,10.0,1.0,10.0,1.0,1.0,2,0.06,0.06,"[106, 262]"
Dev270,270,Dev29,29,9.33,0.93,8.33,0.8,0.82,5,0.24,0.19,"[262, 106, 82, 116, 185]"
Dev351,351,Dev29,29,10.0,1.0,10.0,1.0,1.0,3,0.12,0.12,"[106, 85, 262]"
Dev241,241,Dev385,385,10.0,1.0,8.0,0.76,0.84,2,0.06,0.05,"[116, 102]"
Dev241,241,Dev404,404,8.75,0.86,7.25,0.68,0.69,5,0.24,0.16,"[102, 232, 116, 185, 157]"
Dev241,241,Dev396,396,9.0,0.89,7.5,0.71,0.73,3,0.12,0.09,"[185, 116, 102]"
Dev241,241,Dev14,14,9.33,0.93,8.33,0.8,0.82,4,0.18,0.14,"[185, 258, 116, 102]"
Dev241,241,Dev431,431,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev241,241,Dev433,433,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev241,241,Dev225,225,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev241,241,Dev358,358,9.33,0.93,7.33,0.69,0.74,3,0.12,0.09,"[232, 185, 116]"
Dev270,270,Dev385,385,10.0,1.0,8.0,0.76,0.84,2,0.06,0.05,"[116, 102]"
Dev270,270,Dev404,404,9.0,0.89,7.5,0.71,0.73,3,0.12,0.09,"[185, 116, 102]"
Dev270,270,Dev396,396,9.0,0.89,7.5,0.71,0.73,3,0.12,0.09,"[185, 116, 102]"
Dev270,270,Dev14,14,9.0,0.89,7.5,0.71,0.73,3,0.12,0.09,"[185, 116, 102]"
Dev270,270,Dev431,431,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev270,270,Dev433,433,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev270,270,Dev225,225,9.0,0.89,7.5,0.71,0.73,3,0.12,0.09,"[185, 82, 116]"
Dev270,270,Dev358,358,9.0,0.89,7.5,0.71,0.73,3,0.12,0.09,"[185, 98, 116]"
Dev385,385,Dev404,404,10.0,1.0,8.0,0.76,0.84,2,0.06,0.05,"[116, 102]"
Dev385,385,Dev396,396,10.0,1.0,8.0,0.76,0.84,2,0.06,0.05,"[116, 102]"
Dev385,385,Dev14,14,10.0,1.0,8.0,0.76,0.84,2,0.06,0.05,"[116, 102]"
Dev404,404,Dev396,396,9.0,0.89,7.5,0.71,0.73,3,0.12,0.09,"[185, 116, 102]"
Dev404,404,Dev14,14,9.0,0.89,7.5,0.71,0.73,3,0.12,0.09,"[185, 116, 102]"
Dev404,404,Dev431,431,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev404,404,Dev433,433,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev404,404,Dev29,29,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev404,404,Dev225,225,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev404,404,Dev358,358,9.33,0.93,7.33,0.69,0.74,3,0.12,0.09,"[232, 185, 116]"
Dev396,396,Dev14,14,9.0,0.89,7.5,0.71,0.73,3,0.12,0.09,"[185, 116, 102]"
Dev396,396,Dev431,431,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev396,396,Dev433,433,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev396,396,Dev29,29,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev396,396,Dev225,225,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev396,396,Dev358,358,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev14,14,Dev431,431,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev14,14,Dev433,433,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev14,14,Dev29,29,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
Dev14,14,Dev225,225,9.0,0.89,7.5,0.71,0.73,2,0.06,0.04,"[185, 116]"
