Cromossomo: 0,IDs: [82, 28, 27, 46],Nomes: [Dev82, Dev28, Dev27, Dev46],Fit: [0.70, 0.80, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.30
Cromossomo: 1,IDs: [45, 16, 38, 85],Nomes: [Dev45, Dev16, Dev38, Dev85],Fit: [0.70, 0.60, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.20
Cromossomo: 2,IDs: [56, 8, 94, 89],Nomes: [Dev56, Dev8, Dev94, Dev89],Fit: [0.80, 0.70, 0.60, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 3,IDs: [48, 65, 53, 62],Nomes: [Dev48, Dev65, Dev53, Dev62],Fit: [0.90, 0.60, 0.60, 0.60],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.03
Cromossomo: 4,IDs: [53, 97, 29, 62],Nomes: [Dev53, Dev97, Dev29, Dev62],Fit: [0.60, 0.70, 0.80, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.32
Cromossomo: 5,IDs: [82, 28, 27, 46],Nomes: [Dev82, Dev28, Dev27, Dev46],Fit: [0.70, 0.80, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.30
Cromossomo: 6,IDs: [45, 181, 38, 46],Nomes: [Dev45, Dev181, Dev38, Dev46],Fit: [0.7189265000628452, 0.90, 0.730394425505037, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.16
Cromossomo: 7,IDs: [56, 16, 94, 85],Nomes: [Dev56, Dev16, Dev94, Dev85],Fit: [0.7792661013395651, 0.6347598080909368, 0.6842261070242244, 0.8],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 8,IDs: [82, 28, 27, 402],Nomes: [Dev82, Dev28, Dev27, Dev402],Fit: [0.7016582775036769, 0.8258976998780729, 0.7076833556047528, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.36
Cromossomo: 9,IDs: [53, 97, 29, 62],Nomes: [Dev53, Dev97, Dev29, Dev62],Fit: [0.60, 0.70, 0.80, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.32
Cromossomo: 10,IDs: [45, 181, 38, 46],Nomes: [Dev45, Dev181, Dev38, Dev46],Fit: [0.7165494970032077, 0.8851704759034678, 0.728157238025261, 0.8],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.16
Cromossomo: 11,IDs: [7, 81, 94, 85],Nomes: [Dev7, Dev81, Dev94, Dev85],Fit: [0.90, 0.80, 0.60, 0.80],Nível: [Middle, Junior, Senior, Master],Total Fit: 0.03
Cromossomo: 12,IDs: [82, 28, 27, 402],Nomes: [Dev82, Dev28, Dev27, Dev402],Fit: [0.7016582775036769, 0.8258976998780729, 0.7076833556047528, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.36
