Cromossomo: 0,IDs: [47, 7, 27, 62],Nomes: [Dev47, Dev7, Dev27, Dev62],Fit: [0.86, 0.93, 0.71, 0.57],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.55
Cromossomo: 1,IDs: [53, 97, 29, 46],Nomes: [Dev53, Dev97, Dev29, Dev46],Fit: [0.57, 0.79, 0.71, 0.86],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.18
Cromossomo: 2,IDs: [81, 48, 65, 89],Nomes: [Dev81, Dev48, Dev65, Dev89],Fit: [0.86, 0.93, 0.57, 0.86],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 3,IDs: [28, 104, 94, 85],Nomes: [Dev28, Dev104, Dev94, Dev85],Fit: [0.71, 0.64, 0.64, 0.86],Nível: [Middle, Junior, Senior, Master],Total Fit: 0.03
Cromossomo: 4,IDs: [47, 7, 27, 62],Nomes: [Dev47, Dev7, Dev27, Dev62],Fit: [0.86, 0.93, 0.71, 0.57],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.55
Cromossomo: 5,IDs: [81, 48, 29, 46],Nomes: [Dev81, Dev48, Dev29, Dev46],Fit: [0.86, 0.93, 0.71, 0.86],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 6,IDs: [55, 16, 17, 85],Nomes: [Dev55, Dev16, Dev17, Dev85],Fit: [0.71, 0.57, 0.79, 0.86],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 7,IDs: [53, 97, 65, 89],Nomes: [Dev53, Dev97, Dev65, Dev89],Fit: [0.57, 0.79, 0.57, 0.86],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 8,IDs: [47, 7, 27, 62],Nomes: [Dev47, Dev7, Dev27, Dev62],Fit: [0.86, 0.93, 0.71, 0.57],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.55
Cromossomo: 9,IDs: [81, 48, 17, 85],Nomes: [Dev81, Dev48, Dev17, Dev85],Fit: [0.86, 0.93, 0.79, 0.86],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 10,IDs: [55, 16, 29, 46],Nomes: [Dev55, Dev16, Dev29, Dev46],Fit: [0.71, 0.57, 0.71, 0.86],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 11,IDs: [53, 8, 65, 89],Nomes: [Dev53, Dev8, Dev65, Dev89],Fit: [0.57, 0.79, 0.57, 0.86],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 12,IDs: [47, 7, 27, 62],Nomes: [Dev47, Dev7, Dev27, Dev62],Fit: [0.86, 0.93, 0.71, 0.57],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.55
Cromossomo: 13,IDs: [82, 97, 29, 46],Nomes: [Dev82, Dev97, Dev29, Dev46],Fit: [0.79, 0.79, 0.71, 0.86],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.19
Cromossomo: 14,IDs: [53, 48, 17, 85],Nomes: [Dev53, Dev48, Dev17, Dev85],Fit: [0.57, 0.93, 0.79, 0.86],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 15,IDs: [81, 8, 65, 89],Nomes: [Dev81, Dev8, Dev65, Dev89],Fit: [0.86, 0.79, 0.57, 0.86],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 16,IDs: [47, 7, 27, 62],Nomes: [Dev47, Dev7, Dev27, Dev62],Fit: [0.86, 0.93, 0.71, 0.57],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.55
Cromossomo: 17,IDs: [53, 97, 29, 46],Nomes: [Dev53, Dev97, Dev29, Dev46],Fit: [0.57, 0.79, 0.71, 0.86],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.18
