Cromossomo: 0,IDs: [53, 28, 29, 62],Nomes: [Dev53, Dev28, Dev29, Dev62],Fit: [0.60, 0.80, 0.80, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.34
Cromossomo: 1,IDs: [55, 48, 27, 85],Nomes: [Dev55, Dev48, Dev27, Dev85],Fit: [0.70, 0.90, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 2,IDs: [17, 81, 89, 8],Nomes: [Dev17, Dev81, Dev89, Dev8],Fit: [0.70, 0.80, 0.80, 0.70],Nível: [Senior, Junior, Master, Middle],Total Fit: 0.03
Cromossomo: 3,IDs: [104, 16, 65, 46],Nomes: [Dev104, Dev16, Dev65, Dev46],Fit: [0.60, 0.60, 0.60, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 4,IDs: [55, 16, 351, 402],Nomes: [Dev55, Dev16, Dev351, Dev402],Fit: [0.668204073912715, 0.6768863793857381, 0.90, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.46
Cromossomo: 5,IDs: [104, 48, 27, 46],Nomes: [Dev104, Dev48, Dev27, Dev46],Fit: [0.6249077042672289, 0.7515889174776158, 0.6853668259490904, 0.8],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.40
Cromossomo: 6,IDs: [53, 28, 29, 62],Nomes: [Dev53, Dev28, Dev29, Dev62],Fit: [0.60, 0.80, 0.80, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.34
Cromossomo: 7,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 8,IDs: [81, 7, 94, 62],Nomes: [Dev81, Dev7, Dev94, Dev62],Fit: [0.80, 0.90, 0.60, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.52
Cromossomo: 9,IDs: [55, 16, 351, 402],Nomes: [Dev55, Dev16, Dev351, Dev402],Fit: [0.668204073912715, 0.6768863793857381, 0.90, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.46
Cromossomo: 10,IDs: [53, 28, 29, 46],Nomes: [Dev53, Dev28, Dev29, Dev46],Fit: [0.6098017703029489, 0.789919496064817, 0.7694235205430857, 0.7371629207014663],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.17
Cromossomo: 11,IDs: [104, 174, 27, 327],Nomes: [Dev104, Dev174, Dev27, Dev327],Fit: [0.6193744561100052, 0.80, 0.724405536995001, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 12,IDs: [81, 7, 94, 62],Nomes: [Dev81, Dev7, Dev94, Dev62],Fit: [0.80, 0.90, 0.60, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.52
