Cromossomo: 0,IDs: [47, 7, 17, 62],Nomes: [Dev47, Dev7, Dev17, Dev62],Fit: [0.88, 0.81, 0.81, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.56
Cromossomo: 1,IDs: [82, 16, 46, 29],Nomes: [Dev82, Dev16, Dev46, Dev29],Fit: [0.81, 0.63, 0.75, 0.69],Nível: [Junior, Middle, Master, Senior],Total Fit: 0.17
Cromossomo: 2,IDs: [56, 8, 38, 402],Nomes: [Dev56, Dev8, Dev38, Dev402],Fit: [0.69, 0.75, 0.94, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 3,IDs: [45, 48, 27, 85],Nomes: [Dev45, Dev48, Dev27, Dev85],Fit: [0.88, 0.88, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 4,IDs: [97, 81, 65, 89],Nomes: [Dev97, Dev81, Dev65, Dev89],Fit: [0.88, 0.75, 0.69, 0.75],Nível: [Middle, Junior, Senior, Master],Total Fit: 0.03
Cromossomo: 5,IDs: [94, 104, 28, 198],Nomes: [Dev94, Dev104, Dev28, Dev198],Fit: [0.75, 0.75, 0.69, 0],Nível: [Senior, Junior, Middle, Master],Total Fit: 0.02
Cromossomo: 6,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 7,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 8,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 9,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 10,IDs: [446, 181, 27, 402],Nomes: [Dev446, Dev181, Dev27, Dev402],Fit: [0.88, 0.88, 0.7703971369077202, 0.23972048395064144],Nível: [Junior, Middle, Senior, Master],Total Fit: 1.11
Cromossomo: 11,IDs: [47, 7, 17, 62],Nomes: [Dev47, Dev7, Dev17, Dev62],Fit: [0.88, 0.81, 0.81, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.56
