Cromossomo: 0,IDs: [82, 48, 29, 46],Nomes: [Dev82, Dev48, Dev29, Dev46],Fit: [0.70, 0.90, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.19
Cromossomo: 1,IDs: [55, 7, 38, 85],Nomes: [Dev55, Dev7, Dev38, Dev85],Fit: [0.70, 0.90, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 2,IDs: [28, 53, 94, 89],Nomes: [Dev28, Dev53, Dev94, Dev89],Fit: [0.80, 0.60, 0.60, 0.80],Nível: [Middle, Junior, Senior, Master],Total Fit: 0.03
Cromossomo: 3,IDs: [104, 8, 65, 62],Nomes: [Dev104, Dev8, Dev65, Dev62],Fit: [0.60, 0.70, 0.60, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 4,IDs: [104, 7, 38, 62],Nomes: [Dev104, Dev7, Dev38, Dev62],Fit: [0.60, 0.90, 0.80, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.52
Cromossomo: 5,IDs: [82, 48, 29, 46],Nomes: [Dev82, Dev48, Dev29, Dev46],Fit: [0.70, 0.90, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.19
Cromossomo: 6,IDs: [47, 97, 94, 89],Nomes: [Dev47, Dev97, Dev94, Dev89],Fit: [0.80, 0.70, 0.60, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 7,IDs: [55, 8, 65, 85],Nomes: [Dev55, Dev8, Dev65, Dev85],Fit: [0.70, 0.70, 0.60, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 8,IDs: [104, 7, 38, 62],Nomes: [Dev104, Dev7, Dev38, Dev62],Fit: [0.60, 0.90, 0.80, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.52
Cromossomo: 9,IDs: [45, 28, 65, 85],Nomes: [Dev45, Dev28, Dev65, Dev85],Fit: [0.70, 0.80, 0.60, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.15
Cromossomo: 10,IDs: [47, 97, 29, 46],Nomes: [Dev47, Dev97, Dev29, Dev46],Fit: [0.80, 0.70, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 11,IDs: [82, 48, 94, 89],Nomes: [Dev82, Dev48, Dev94, Dev89],Fit: [0.70, 0.90, 0.60, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
