Cromossomo: 0,IDs: [45, 48, 29, 46],Nomes: [Dev45, Dev48, Dev29, Dev46],Fit: [0.70, 0.90, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 1,IDs: [47, 7, 94, 85],Nomes: [Dev47, Dev7, Dev94, Dev85],Fit: [0.80, 0.90, 0.60, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 2,IDs: [56, 16, 38, 89],Nomes: [Dev56, Dev16, Dev38, Dev89],Fit: [0.80, 0.60, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 3,IDs: [17, 97, 55, 62],Nomes: [Dev17, Dev97, Dev55, Dev62],Fit: [0.70, 0.70, 0.70, 0.60],Nível: [Senior, Middle, Junior, Master],Total Fit: 0.03
Cromossomo: 4,IDs: [324, 7, 161, 402],Nomes: [Dev324, Dev7, Dev161, Dev402],Fit: [0.80, 0.8926775937560101, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.40
Cromossomo: 5,IDs: [45, 48, 29, 46],Nomes: [Dev45, Dev48, Dev29, Dev46],Fit: [0.70, 0.90, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 6,IDs: [47, 16, 38, 85],Nomes: [Dev47, Dev16, Dev38, Dev85],Fit: [0.8, 0.731053124606639, 0.7279640645030359, 0.8],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 7,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 8,IDs: [324, 7, 161, 402],Nomes: [Dev324, Dev7, Dev161, Dev402],Fit: [0.80, 0.8926775937560101, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.40
Cromossomo: 9,IDs: [56, 48, 17, 62],Nomes: [Dev56, Dev48, Dev17, Dev62],Fit: [0.80, 0.90, 0.70, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.18
Cromossomo: 10,IDs: [305, 181, 29, 136],Nomes: [Dev305, Dev181, Dev29, Dev136],Fit: [0.80, 0.90, 0.7846595069624174, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 11,IDs: [47, 16, 38, 46],Nomes: [Dev47, Dev16, Dev38, Dev46],Fit: [0.7935982988287617, 0.795170172801308, 0.7428593109774012, 0.8],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 12,IDs: [447, 7, 29, 62],Nomes: [Dev447, Dev7, Dev29, Dev62],Fit: [0.80, 0.90, 0.7738013558042187, 0.6530241563937624],Nível: [Junior, Middle, Senior, Master],Total Fit: 1.50
Cromossomo: 13,IDs: [324, 7, 161, 402],Nomes: [Dev324, Dev7, Dev161, Dev402],Fit: [0.80, 0.8926775937560101, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.40
Cromossomo: 14,IDs: [56, 97, 38, 89],Nomes: [Dev56, Dev97, Dev38, Dev89],Fit: [0.80, 0.70, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
Cromossomo: 15,IDs: [305, 181, 17, 136],Nomes: [Dev305, Dev181, Dev17, Dev136],Fit: [0.8, 0.9, 0.7016353766193092, 0.7900507046531434],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 16,IDs: [447, 7, 29, 62],Nomes: [Dev447, Dev7, Dev29, Dev62],Fit: [0.80, 0.90, 0.7738013558042187, 0.6530241563937624],Nível: [Junior, Middle, Senior, Master],Total Fit: 1.50
Cromossomo: 17,IDs: [56, 97, 38, 89],Nomes: [Dev56, Dev97, Dev38, Dev89],Fit: [0.8, 0.7413245627315128, 0.8, 0.8],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
Cromossomo: 18,IDs: [414, 181, 27, 211],Nomes: [Dev414, Dev181, Dev27, Dev211],Fit: [0.80, 0.90, 0.80, 1.00],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
Cromossomo: 19,IDs: [82, 28, 17, 46],Nomes: [Dev82, Dev28, Dev17, Dev46],Fit: [0.70, 0.80, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 20,IDs: [447, 7, 29, 62],Nomes: [Dev447, Dev7, Dev29, Dev62],Fit: [0.80, 0.90, 0.7738013558042187, 0.6530241563937624],Nível: [Junior, Middle, Senior, Master],Total Fit: 1.50
Cromossomo: 21,IDs: [425, 174, 448, 211],Nomes: [Dev425, Dev174, Dev448, Dev211],Fit: [0.80, 0.80, 0.80, 1.00],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.61
