Cromossomo: 0,IDs: [45, 48, 29, 46],Nomes: [Dev45, Dev48, Dev29, Dev46],Fit: [0.70, 0.90, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 1,IDs: [81, 8, 27, 89],Nomes: [Dev81, Dev8, Dev27, Dev89],Fit: [0.80, 0.70, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 2,IDs: [94, 104, 28, 85],Nomes: [Dev94, Dev104, Dev28, Dev85],Fit: [0.60, 0.60, 0.80, 0.80],Nível: [Senior, Junior, Middle, Master],Total Fit: 0.03
Cromossomo: 3,IDs: [53, 16, 65, 62],Nomes: [Dev53, Dev16, Dev65, Dev62],Fit: [0.60, 0.60, 0.60, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.02
Cromossomo: 4,IDs: [53, 16, 27, 89],Nomes: [Dev53, Dev16, Dev27, Dev89],Fit: [0.60, 0.60, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 5,IDs: [45, 48, 29, 46],Nomes: [Dev45, Dev48, Dev29, Dev46],Fit: [0.70, 0.90, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 6,IDs: [55, 97, 94, 85],Nomes: [Dev55, Dev97, Dev94, Dev85],Fit: [0.70, 0.70, 0.60, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 7,IDs: [81, 8, 65, 62],Nomes: [Dev81, Dev8, Dev65, Dev62],Fit: [0.80, 0.70, 0.60, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 8,IDs: [53, 16, 27, 89],Nomes: [Dev53, Dev16, Dev27, Dev89],Fit: [0.60, 0.60, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 9,IDs: [45, 48, 27, 85],Nomes: [Dev45, Dev48, Dev27, Dev85],Fit: [0.70, 0.90, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 10,IDs: [55, 97, 29, 46],Nomes: [Dev55, Dev97, Dev29, Dev46],Fit: [0.70, 0.70, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 11,IDs: [81, 8, 65, 62],Nomes: [Dev81, Dev8, Dev65, Dev62],Fit: [0.80, 0.70, 0.60, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 12,IDs: [56, 97, 38, 46],Nomes: [Dev56, Dev97, Dev38, Dev46],Fit: [0.80, 0.70, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
Cromossomo: 13,IDs: [53, 16, 27, 89],Nomes: [Dev53, Dev16, Dev27, Dev89],Fit: [0.60, 0.60, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 14,IDs: [81, 48, 27, 85],Nomes: [Dev81, Dev48, Dev27, Dev85],Fit: [0.80, 0.90, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 15,IDs: [45, 8, 65, 62],Nomes: [Dev45, Dev8, Dev65, Dev62],Fit: [0.70, 0.70, 0.60, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 16,IDs: [56, 97, 38, 46],Nomes: [Dev56, Dev97, Dev38, Dev46],Fit: [0.80, 0.70, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
Cromossomo: 17,IDs: [53, 16, 27, 85],Nomes: [Dev53, Dev16, Dev27, Dev85],Fit: [0.60, 0.60, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 18,IDs: [81, 48, 27, 89],Nomes: [Dev81, Dev48, Dev27, Dev89],Fit: [0.80, 0.90, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 19,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 20,IDs: [56, 97, 38, 46],Nomes: [Dev56, Dev97, Dev38, Dev46],Fit: [0.80, 0.70, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
Cromossomo: 21,IDs: [81, 16, 27, 85],Nomes: [Dev81, Dev16, Dev27, Dev85],Fit: [0.80, 0.60, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.15
Cromossomo: 22,IDs: [53, 48, 27, 89],Nomes: [Dev53, Dev48, Dev27, Dev89],Fit: [0.60, 0.90, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 23,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 24,IDs: [82, 28, 29, 62],Nomes: [Dev82, Dev28, Dev29, Dev62],Fit: [0.70, 0.80, 0.80, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.70
Cromossomo: 25,IDs: [56, 97, 38, 46],Nomes: [Dev56, Dev97, Dev38, Dev46],Fit: [0.80, 0.70, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
Cromossomo: 26,IDs: [53, 16, 27, 85],Nomes: [Dev53, Dev16, Dev27, Dev85],Fit: [0.60, 0.60, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 27,IDs: [81, 48, 27, 89],Nomes: [Dev81, Dev48, Dev27, Dev89],Fit: [0.80, 0.90, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 28,IDs: [82, 28, 29, 62],Nomes: [Dev82, Dev28, Dev29, Dev62],Fit: [0.70, 0.80, 0.80, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.70
Cromossomo: 29,IDs: [81, 97, 38, 46],Nomes: [Dev81, Dev97, Dev38, Dev46],Fit: [0.80, 0.70, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
Cromossomo: 30,IDs: [45, 16, 94, 85],Nomes: [Dev45, Dev16, Dev94, Dev85],Fit: [0.70, 0.60, 0.60, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.19
Cromossomo: 31,IDs: [56, 48, 27, 89],Nomes: [Dev56, Dev48, Dev27, Dev89],Fit: [0.80, 0.90, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 32,IDs: [82, 28, 29, 62],Nomes: [Dev82, Dev28, Dev29, Dev62],Fit: [0.70, 0.80, 0.80, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.70
Cromossomo: 33,IDs: [45, 16, 38, 46],Nomes: [Dev45, Dev16, Dev38, Dev46],Fit: [0.70, 0.60, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.20
Cromossomo: 34,IDs: [53, 7, 27, 89],Nomes: [Dev53, Dev7, Dev27, Dev89],Fit: [0.60, 0.90, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 35,IDs: [81, 97, 94, 85],Nomes: [Dev81, Dev97, Dev94, Dev85],Fit: [0.80, 0.70, 0.60, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 36,IDs: [82, 28, 29, 62],Nomes: [Dev82, Dev28, Dev29, Dev62],Fit: [0.70, 0.80, 0.80, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.70
Cromossomo: 37,IDs: [53, 16, 38, 46],Nomes: [Dev53, Dev16, Dev38, Dev46],Fit: [0.60, 0.60, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.36
Cromossomo: 38,IDs: [45, 7, 27, 89],Nomes: [Dev45, Dev7, Dev27, Dev89],Fit: [0.70, 0.90, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 39,IDs: [104, 85, 65, 8],Nomes: [Dev104, Dev85, Dev65, Dev8],Fit: [0.60, 0.80, 0.60, 0.70],Nível: [Junior, Master, Senior, Middle],Total Fit: 0.03
Cromossomo: 40,IDs: [82, 28, 29, 62],Nomes: [Dev82, Dev28, Dev29, Dev62],Fit: [0.70, 0.80, 0.80, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.70
Cromossomo: 41,IDs: [45, 16, 38, 46],Nomes: [Dev45, Dev16, Dev38, Dev46],Fit: [0.70, 0.60, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.20
Cromossomo: 42,IDs: [53, 7, 27, 89],Nomes: [Dev53, Dev7, Dev27, Dev89],Fit: [0.60, 0.90, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 43,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 44,IDs: [82, 28, 29, 62],Nomes: [Dev82, Dev28, Dev29, Dev62],Fit: [0.70, 0.80, 0.80, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.70
Cromossomo: 45,IDs: [53, 7, 38, 46],Nomes: [Dev53, Dev7, Dev38, Dev46],Fit: [0.60, 0.90, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.40
Cromossomo: 46,IDs: [45, 16, 27, 89],Nomes: [Dev45, Dev16, Dev27, Dev89],Fit: [0.70, 0.60, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.34
Cromossomo: 47,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 48,IDs: [82, 28, 29, 62],Nomes: [Dev82, Dev28, Dev29, Dev62],Fit: [0.70, 0.80, 0.80, 0.60],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.70
Cromossomo: 49,IDs: [53, 16, 27, 89],Nomes: [Dev53, Dev16, Dev27, Dev89],Fit: [0.60, 0.60, 0.70, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 50,IDs: [45, 7, 38, 46],Nomes: [Dev45, Dev7, Dev38, Dev46],Fit: [0.70, 0.90, 0.80, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 51,IDs: [47, 97, 65, 85],Nomes: [Dev47, Dev97, Dev65, Dev85],Fit: [0.80, 0.70, 0.60, 0.80],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
