Cromossomo: 0,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 1,IDs: [53, 97, 38, 85],Nomes: [Dev53, Dev97, Dev38, Dev85],Fit: [0.58, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.45
Cromossomo: 2,IDs: [55, 28, 27, 62],Nomes: [Dev55, Dev28, Dev27, Dev62],Fit: [0.75, 0.75, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 3,IDs: [47, 16, 89, 65],Nomes: [Dev47, Dev16, Dev89, Dev65],Fit: [0.83, 0.58, 0.83, 0.58],Nível: [Junior, Middle, Master, Senior],Total Fit: 0.03
Cromossomo: 4,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 5,IDs: [55, 97, 38, 85],Nomes: [Dev55, Dev97, Dev38, Dev85],Fit: [0.75, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
Cromossomo: 6,IDs: [47, 8, 89, 17],Nomes: [Dev47, Dev8, Dev89, Dev17],Fit: [0.83, 0.75, 0.83, 0.75],Nível: [Junior, Middle, Master, Senior],Total Fit: 0.03
Cromossomo: 7,IDs: [53, 28, 27, 62],Nomes: [Dev53, Dev28, Dev27, Dev62],Fit: [0.58, 0.75, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 8,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 9,IDs: [53, 28, 38, 85],Nomes: [Dev53, Dev28, Dev38, Dev85],Fit: [0.58, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.21
Cromossomo: 10,IDs: [55, 97, 27, 62],Nomes: [Dev55, Dev97, Dev27, Dev62],Fit: [0.75, 0.75, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 11,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 12,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 13,IDs: [55, 97, 38, 85],Nomes: [Dev55, Dev97, Dev38, Dev85],Fit: [0.75, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
Cromossomo: 14,IDs: [104, 8, 65, 89],Nomes: [Dev104, Dev8, Dev65, Dev89],Fit: [0.58, 0.75, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 15,IDs: [53, 28, 27, 62],Nomes: [Dev53, Dev28, Dev27, Dev62],Fit: [0.58, 0.75, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 16,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 17,IDs: [104, 97, 38, 85],Nomes: [Dev104, Dev97, Dev38, Dev85],Fit: [0.58, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.24
