Cromossomo: 0,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 1,IDs: [82, 28, 65, 402],Nomes: [Dev82, Dev28, Dev65, Dev402],Fit: [0.81, 0.69, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.37
Cromossomo: 2,IDs: [56, 38, 85, 283],Nomes: [Dev56, Dev38, Dev85, Dev283],Fit: [0.69, 0.88, 0.75, 0],Nível: [Junior, Senior, Master, Middle],Total Fit: 0.14
Cromossomo: 3,IDs: [47, 48, 17, 89],Nomes: [Dev47, Dev48, Dev17, Dev89],Fit: [0.88, 0.88, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 4,IDs: [16, 46, 94, 104],Nomes: [Dev16, Dev46, Dev94, Dev104],Fit: [0.63, 0.75, 0.75, 0.75],Nível: [Middle, Master, Senior, Junior],Total Fit: 0.03
Cromossomo: 5,IDs: [8, 81, 27, 62],Nomes: [Dev8, Dev81, Dev27, Dev62],Fit: [0.75, 0.75, 0.75, 0.63],Nível: [Middle, Junior, Senior, Master],Total Fit: 0.03
Cromossomo: 6,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 7,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 8,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 9,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 10,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 11,IDs: [82, 28, 17, 89],Nomes: [Dev82, Dev28, Dev17, Dev89],Fit: [0.81, 0.69, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 12,IDs: [53, 8, 27, 85],Nomes: [Dev53, Dev8, Dev27, Dev85],Fit: [0.81, 0.75, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 13,IDs: [47, 48, 65, 402],Nomes: [Dev47, Dev48, Dev65, Dev402],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.02
Cromossomo: 14,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 15,IDs: [104, 97, 38, 46],Nomes: [Dev104, Dev97, Dev38, Dev46],Fit: [0.75, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.26
Cromossomo: 16,IDs: [47, 48, 27, 85],Nomes: [Dev47, Dev48, Dev27, Dev85],Fit: [0.88, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 17,IDs: [53, 8, 65, 402],Nomes: [Dev53, Dev8, Dev65, Dev402],Fit: [0.81, 0.75, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.02
Cromossomo: 18,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 19,IDs: [47, 97, 38, 46],Nomes: [Dev47, Dev97, Dev38, Dev46],Fit: [0.88, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.27
Cromossomo: 20,IDs: [104, 48, 27, 85],Nomes: [Dev104, Dev48, Dev27, Dev85],Fit: [0.75, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 21,IDs: [8, 62, 17, 55],Nomes: [Dev8, Dev62, Dev17, Dev55],Fit: [0.75, 0.63, 0.81, 0.69],Nível: [Middle, Master, Senior, Junior],Total Fit: 0.03
